,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
843,ford,kuga,12500,2012,with mileage,115000,diesel,2000,black,auto,part-time four-wheel drive,J
848,ford,escape,10500,2013,with mileage,121000,petrol,1600,green,auto,all-wheel drive,J
852,nissan,pathfinder,2300,1992,with mileage,200000,petrol,3000,black,auto,part-time four-wheel drive,J
860,jeep,grand-cherokee,6700,2003,with mileage,178,diesel,2700,gray,auto,,J
876,nissan,qashqai,9000,2009,with mileage,132000,petrol,1600,gray,mechanics,front-wheel drive,J
893,mazda,cx-7,7400,2007,with mileage,209214.2,petrol,2300,gray,auto,front-wheel drive,J
925,audi,q7,17300,2008,with mileage,330000,petrol,3600,black,auto,all-wheel drive,J
944,honda,cr-v,19950,2015,with mileage,126812.7733,petrol,2400,gray,auto,front-wheel drive,J
959,bmw,x5m,24600,2009,with mileage,126000,petrol,4400,silver,auto,all-wheel drive,J
975,jeep,grand-cherokee,18000,2012,with mileage,243000,petrol,3600,black,auto,all-wheel drive,J
987,acura,mdx,15000,2009,with mileage,248000,petrol,3700,black,auto,all-wheel drive,J
997,renault,duster,10000,2017,with mileage,86000,petrol,1600,silver,mechanics,front-wheel drive,J
998,hyundai,santa-fe,9900,2006,with mileage,190000,diesel,2200,black,mechanics,part-time four-wheel drive,J
1000,renault,kaptur,13600,2018,with mileage,48300,petrol,2000,white,mechanics,front-wheel drive,J
1004,mercedes-benz,m-klass,8800,2002,with mileage,300000,diesel,4000,other,auto,all-wheel drive,J
1007,hyundai,santa-fe,17900,2013,with mileage,151000,diesel,2000,red,auto,front-wheel drive,J
1010,land-rover,freelander,4680,2001,with mileage,230000,petrol,2500,blue,auto,all-wheel drive,J
1048,volvo,xc60,17500,2010,with mileage,292,diesel,2400,blue,auto,part-time four-wheel drive,J
1060,nissan,qashqai,9500,2009,with mileage,243000,diesel,1500,white,mechanics,front-wheel drive,J
1082,bmw,x5,13700,2007,with mileage,210000,petrol,3000,white,auto,all-wheel drive,J
1089,bmw,x3,8900,2004,with mileage,233000,petrol,3000,silver,auto,all-wheel drive,J
1097,hyundai,terracan,6000,2004,with mileage,194000,petrol,3500,black,auto,part-time four-wheel drive,J
1102,land-rover,range-rover-sport,17500,2010,with mileage,280000,diesel,3600,white,auto,all-wheel drive,J
1105,nissan,x-trail,7500,2005,with mileage,216000,diesel,2200,silver,mechanics,front-wheel drive,J
1107,nissan,qashqai,9300,2010,with mileage,210000,petrol,1600,silver,mechanics,front-wheel drive,J
1122,uaz,patriot,6000,2006,with mileage,244288,petrol,2700,blue,mechanics,part-time four-wheel drive,J
1124,renault,duster,14150,2017,with mileage,80000,diesel,1500,black,mechanics,part-time four-wheel drive,J
1145,toyota,rav4,8700,2007,with mileage,193.1208,petrol,2400,black,auto,all-wheel drive,J
1147,chevrolet,niva,4700,2011,with mileage,145000,petrol,1700,gray,mechanics,all-wheel drive,J
1150,ford,escape,16500,2016,with mileage,57000,petrol,1500,gray,auto,part-time four-wheel drive,J
1167,nissan,qashqai,15590,2015,with mileage,170000,diesel,1500,black,mechanics,front-wheel drive,J
1169,porsche,cayenne,10500,2008,with mileage,205000,petrol,4800,other,auto,all-wheel drive,J
