,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
3,volkswagen,fox,3300,2005,with mileage,140000,petrol,1200,blue,mechanics,front-wheel drive,A
11,daewoo,matiz,2050,2013,with mileage,100000,petrol,800,silver,mechanics,front-wheel drive,A
193,volkswagen,fox,3850,2005,with mileage,104000,petrol,1200,black,mechanics,front-wheel drive,A
374,daewoo,matiz,2000,2008,with mileage,107000,petrol,800,black,mechanics,front-wheel drive,A
391,mercedes-benz,a-klass,3300,2000,with mileage,328000,diesel,1700,green,mechanics,front-wheel drive,A
550,ford,ka,700,1998,with mileage,12345,petrol,1300,purple,mechanics,front-wheel drive,A
553,mercedes-benz,a-klass,3100,1998,with mileage,206156,petrol,1400,burgundy,mechanics,,A
912,opel,agila,1949,2001,with mileage,282500,petrol,1000,blue,mechanics,front-wheel drive,A
1036,mercedes-benz,a-klass,7900,2008,with mileage,96000,petrol,1700,black,auto,front-wheel drive,A
1051,mercedes-benz,a-klass,2750,2001,with mileage,190000,diesel,1700,silver,mechanics,front-wheel drive,A
1303,mercedes-benz,a-klass,9300,2012,with mileage,111000,petrol,1700,red,auto,front-wheel drive,A
1424,peugeot,107,5100,2010,with mileage,113000,petrol,1000,black,auto,front-wheel drive,A
1454,mini,cooper,5800,2005,with mileage,190000,petrol,1600,green,auto,front-wheel drive,A
1466,opel,agila,2600,2001,with mileage,242000,petrol,1200,blue,mechanics,front-wheel drive,A
1503,mercedes-benz,a-klass,2900,1998,with mileage,270000,petrol,1600,silver,mechanics,front-wheel drive,A
1695,mercedes-benz,a-klass,8450,2011,with mileage,130000,petrol,1700,black,auto,front-wheel drive,A
1780,mercedes-benz,a-klass,6100,2007,with mileage,154000,petrol,1500,silver,auto,front-wheel drive,A
1894,rover,45,2500,2004,with mileage,273000,diesel,2000,silver,mechanics,front-wheel drive,A
1902,mercedes-benz,a-klass,8700,2012,with mileage,89000,petrol,1800,blue,auto,front-wheel drive,A
2081,mini,cooper,5700,2005,with mileage,11,petrol,1600,white,auto,,A
2085,opel,agila,2800,2004,with mileage,316000,diesel,1300,blue,mechanics,front-wheel drive,A
2095,daewoo,matiz,1350,2007,with mileage,90000,petrol,800,burgundy,mechanics,front-wheel drive,A
2103,peugeot,107,7200,2012,with mileage,85000,petrol,1000,purple,auto,front-wheel drive,A
2472,mercedes-benz,a-klass,16700,2013,with mileage,120000,petrol,1600,white,auto,rear drive,A
2686,daewoo,matiz,1550,2007,with mileage,200000,petrol,800,blue,mechanics,front-wheel drive,A
2858,mercedes-benz,a-klass,5800,2008,with mileage,215000,petrol,1500,black,auto,front-wheel drive,A
2865,mercedes-benz,a-klass,14000,2013,with mileage,120000,petrol,1600,black,auto,front-wheel drive,A
3109,mini,cooper,6000,2004,with mileage,267000,petrol,1600,other,mechanics,front-wheel drive,A
3111,opel,agila,2799,2001,with mileage,137000,petrol,1000,blue,mechanics,front-wheel drive,A
3197,mercedes-benz,a-klass,3350,1999,with mileage,3600,petrol,1400,burgundy,mechanics,front-wheel drive,A
3344,mercedes-benz,a-klass,4800,2004,with mileage,199000,petrol,1600,blue,auto,front-wheel drive,A
3396,rover,45,2500,2000,with mileage,285000,petrol,1600,blue,mechanics,front-wheel drive,A
3471,peugeot,107,3999,2007,with mileage,200000,petrol,1000,yellow,mechanics,front-wheel drive,A
3475,mini,cooper,7333,2010,with mileage,230000,petrol,1600,gray,mechanics,front-wheel drive,A
3477,daewoo,matiz,1100,1998,with mileage,290000,petrol,800,red,mechanics,front-wheel drive,A
3520,mercedes-benz,a-klass,4350,2002,with mileage,227000,diesel,1700,silver,auto,front-wheel drive,A
3556,ford,ka,1421,1998,with mileage,97000,petrol,1300,black,mechanics,front-wheel drive,A
3574,mercedes-benz,a-klass,2750,1998,with mileage,199000,petrol,1600,green,mechanics,front-wheel drive,A
3657,ford,ka,550,1997,with mileage,150,petrol,1300,red,mechanics,front-wheel drive,A
4362,mercedes-benz,a-klass,2300,1999,with mileage,178000,petrol,1400,other,mechanics,front-wheel drive,A
4507,daewoo,matiz,1800,2010,with mileage,95000,petrol,800,blue,mechanics,,A
4529,rover,45,2350,2000,with mileage,289000,petrol,1400,blue,mechanics,front-wheel drive,A
4835,chevrolet,matiz,2800,2009,with mileage,99000,petrol,800,red,mechanics,front-wheel drive,A
4847,mercedes-benz,a-klass,2500,1998,with mileage,317000,petrol,1600,other,mechanics,front-wheel drive,A
4857,zaz,965,1600,1968,with mileage,35000,petrol,900,blue,mechanics,,A
4897,hyundai,atos,1700,1999,with mileage,199999,petrol,1000,blue,mechanics,front-wheel drive,A
4991,volkswagen,fox,3790,2009,with mileage,217000,petrol,1200,gray,mechanics,front-wheel drive,A
5292,mercedes-benz,a-klass,3900,2004,with mileage,290000,diesel,1700,silver,mechanics,front-wheel drive,A
5433,mercedes-benz,a-klass,3300,2000,with mileage,260000,diesel,1700,black,mechanics,front-wheel drive,A
5488,mercedes-benz,a-klass,4990,2004,with mileage,170000,petrol,1600,blue,auto,front-wheel drive,A
5511,mercedes-benz,a-klass,7800,2008,with mileage,107000,petrol,1500,black,auto,front-wheel drive,A
5610,volkswagen,fox,4100,2009,with mileage,134,petrol,1200,red,mechanics,front-wheel drive,A
5680,daewoo,matiz,1500,2010,with mileage,117541,petrol,800,blue,mechanics,front-wheel drive,A
5829,daewoo,matiz,1999,2009,with mileage,50638,petrol,800,yellow,mechanics,front-wheel drive,A
5901,rover,45,1450,2001,with mileage,315000,petrol,1800,other,mechanics,front-wheel drive,A
6099,rover,45,3450,2005,with mileage,160000,petrol,1800,silver,mechanics,front-wheel drive,A
6193,chevrolet,matiz,2800,2007,with mileage,123000,petrol,1000,blue,mechanics,front-wheel drive,A
6205,daewoo,matiz,1050,2008,with mileage,100000,petrol,800,blue,mechanics,front-wheel drive,A
6259,mercedes-benz,a-klass,13150,2013,with mileage,95200,petrol,1600,black,auto,front-wheel drive,A
6281,volkswagen,fox,3800,2006,with mileage,192000,petrol,1400,silver,mechanics,front-wheel drive,A
6287,daewoo,matiz,1664,2010,with mileage,148300,petrol,800,silver,mechanics,front-wheel drive,A
6329,daewoo,matiz,1050,2005,with mileage,146000,petrol,800,blue,mechanics,front-wheel drive,A
6342,mercedes-benz,a-klass,3666,2002,with mileage,240000,diesel,1600,black,mechanics,front-wheel drive,A
6418,daewoo,matiz,2500,2012,with mileage,45000,petrol,800,red,mechanics,front-wheel drive,A
6424,zaz,965,2567,1967,with mileage,2080,petrol,900,blue,mechanics,rear drive,A
7203,ford,ka,1100,1997,with mileage,71300,petrol,1300,yellow,mechanics,front-wheel drive,A
7449,mercedes-benz,a-klass,1750,1998,with mileage,345000,petrol,1400,gray,mechanics,,A
7501,volkswagen,fox,2300,2008,with mileage,207000,petrol,1200,white,mechanics,front-wheel drive,A
7668,hyundai,atos,2650,2005,with mileage,170000,petrol,1100,blue,mechanics,front-wheel drive,A
7751,hyundai,atos,2000,1999,with mileage,330000,petrol,1000,blue,mechanics,front-wheel drive,A
7834,mercedes-benz,a-klass,8700,2011,with mileage,151500,petrol,1800,white,auto,front-wheel drive,A
8036,ford,ka,1800,1997,with mileage,72000,petrol,1300,purple,mechanics,front-wheel drive,A
8097,mercedes-benz,a-klass,3300,2000,with mileage,300000,petrol,1600,black,mechanics,front-wheel drive,A
8117,mercedes-benz,a-klass,3800,2004,with mileage,171000,petrol,1600,blue,auto,front-wheel drive,A
8137,mini,cooper,14600,2015,with mileage,31000,petrol,1500,red,auto,front-wheel drive,A
8218,mercedes-benz,a-klass,7700,2010,with mileage,120000,petrol,1600,silver,auto,,A
8495,mercedes-benz,a-klass,6800,2008,with mileage,217000,petrol,1500,black,mechanics,front-wheel drive,A
8597,hyundai,atos,1350,1998,with mileage,242876,petrol,1000,blue,mechanics,front-wheel drive,A
8625,ford,ka,900,1998,with mileage,300000,petrol,1300,purple,mechanics,front-wheel drive,A
9050,peugeot,107,3300,2007,with mileage,215064,petrol,1000,yellow,mechanics,,A
9100,mini,cooper,4200,2007,with mileage,187000,petrol,1600,orange,auto,front-wheel drive,A
9121,ford,ka,900,1997,with mileage,120000,petrol,1300,blue,mechanics,front-wheel drive,A
9149,hyundai,atos,1250,1999,with mileage,206000,petrol,1000,white,mechanics,front-wheel drive,A
9329,mercedes-benz,a-klass,10400,2013,with mileage,67000,petrol,1600,black,auto,front-wheel drive,A
9363,mercedes-benz,a-klass,16500,2016,with mileage,111500,diesel,1500,black,auto,front-wheel drive,A
9488,mercedes-benz,a-klass,4350,2004,with mileage,128000,diesel,1700,black,auto,front-wheel drive,A
9848,daewoo,matiz,3200,2011,with mileage,13448,petrol,800,other,mechanics,front-wheel drive,A
9866,mercedes-benz,a-klass,16500,2014,with mileage,70000,petrol,1600,other,auto,front-wheel drive,A
9932,mercedes-benz,a-klass,7777,2009,with mileage,147000,petrol,1500,silver,mechanics,front-wheel drive,A
9954,mercedes-benz,a-klass,6350,2009,with mileage,186000,diesel,1800,gray,mechanics,front-wheel drive,A
10112,daewoo,matiz,2000,2010,with mileage,78000,petrol,1000,white,mechanics,front-wheel drive,A
10403,volkswagen,fox,4500,2010,with mileage,211000,diesel,1400,white,mechanics,front-wheel drive,A
10422,mercedes-benz,a-klass,17800,2014,with mileage,170,diesel,1500,gray,mechanics,front-wheel drive,A
10550,mercedes-benz,a-klass,3800,1999,with mileage,202000,petrol,1600,silver,auto,front-wheel drive,A
10754,mercedes-benz,a-klass,3500,1999,with mileage,250000,petrol,1600,gray,mechanics,front-wheel drive,A
10793,citroen,c1,4700,2009,with mileage,131000,petrol,1000,blue,auto,front-wheel drive,A
10833,mercedes-benz,a-klass,3350,2003,with mileage,160000,petrol,1400,black,mechanics,front-wheel drive,A
10943,mini,cooper,30641,2018,with mileage,8154,petrol,2000,red,auto,front-wheel drive,A
11075,mercedes-benz,a-klass,2350,1998,with mileage,220766,petrol,1400,black,mechanics,front-wheel drive,A
11082,mercedes-benz,a-klass,3400,2001,with mileage,190000,petrol,1400,blue,mechanics,front-wheel drive,A
11200,mini,cooper,4900,2002,with mileage,224000,petrol,1600,red,mechanics,front-wheel drive,A
11240,citroen,c1,4500,2008,with mileage,77811,petrol,998,black,mechanics,front-wheel drive,A
11308,mini,cooper,7499,2009,with mileage,103529,petrol,1400,brown,mechanics,front-wheel drive,A
11514,volkswagen,fox,3200,2006,with mileage,290241,diesel,1400,black,mechanics,front-wheel drive,A
11685,daewoo,matiz,2380,2008,with mileage,103357,petrol,800,silver,auto,front-wheel drive,A
11712,mercedes-benz,a-klass,2500,1999,with mileage,350000,diesel,1700,black,mechanics,front-wheel drive,A
11762,mercedes-benz,a-klass,3000,2001,with mileage,210000,diesel,1700,black,mechanics,front-wheel drive,A
11799,peugeot,107,4516,2010,with mileage,150000,petrol,1000,yellow,auto,front-wheel drive,A
12008,chevrolet,matiz,3250,2008,with mileage,74000,petrol,1000,orange,mechanics,front-wheel drive,A
12354,daewoo,matiz,1000,2008,with mileage,133290,petrol,800,silver,mechanics,front-wheel drive,A
12580,mini,cooper,5000,2007,with mileage,230000,petrol,1400,red,mechanics,front-wheel drive,A
12828,daewoo,matiz,1664,2009,with mileage,103000,petrol,800,other,mechanics,front-wheel drive,A
13342,mercedes-benz,a-klass,3200,2002,with mileage,130000,petrol,1400,silver,mechanics,front-wheel drive,A
13371,mercedes-benz,a-klass,2000,1998,with mileage,111111,petrol,1400,white,mechanics,front-wheel drive,A
13382,daewoo,matiz,1150,1999,with mileage,105000,petrol,800,silver,mechanics,front-wheel drive,A
13460,volkswagen,fox,4990,2009,with mileage,85260,petrol,1200,black,mechanics,front-wheel drive,A
13584,mini,cooper,4899,2002,with mileage,181000,petrol,1600,green,mechanics,front-wheel drive,A
13627,mercedes-benz,a-klass,6350,2007,with mileage,162000,petrol,1500,silver,mechanics,,A
13648,mercedes-benz,a-klass,4300,2001,with mileage,200000,diesel,1700,black,auto,,A
13790,ford,ka,4500,2009,with mileage,134000,petrol,1200,white,mechanics,front-wheel drive,A
13839,chevrolet,matiz,3000,2008,with mileage,140000,petrol,800,silver,mechanics,front-wheel drive,A
13842,mercedes-benz,a-klass,4000,2001,with mileage,303000,diesel,1700,black,auto,front-wheel drive,A
13893,mercedes-benz,a-klass,4500,2005,with mileage,300000,diesel,2000,white,mechanics,front-wheel drive,A
13905,ford,ka,350,1997,for parts,0,petrol,1300,green,mechanics,front-wheel drive,A
13941,peugeot,107,4350,2010,with mileage,155000,petrol,1000,white,mechanics,front-wheel drive,A
14117,mercedes-benz,a-klass,4750,2005,with mileage,214000,petrol,1500,black,mechanics,front-wheel drive,A
14138,mercedes-benz,a-klass,12000,2013,with mileage,113000,petrol,1600,white,auto,front-wheel drive,A
14577,volkswagen,fox,4590,2010,with mileage,150000,petrol,1200,white,mechanics,front-wheel drive,A
14616,mercedes-benz,a-klass,8500,2008,with mileage,103000,petrol,1700,black,mechanics,front-wheel drive,A
14669,daewoo,matiz,2450,2010,with mileage,110414,petrol,800,purple,mechanics,front-wheel drive,A
14707,opel,agila,2400,2001,with mileage,212000,petrol,1000,burgundy,mechanics,front-wheel drive,A
14935,ford,ka,1299,2001,with mileage,100000,petrol,1300,burgundy,mechanics,front-wheel drive,A
14958,mercedes-benz,a-klass,3700,2001,with mileage,213,petrol,1400,gray,mechanics,front-wheel drive,A
14976,peugeot,107,4200,2010,with mileage,117000,petrol,1000,white,mechanics,front-wheel drive,A
15011,ford,ka,1000,1996,with mileage,50000,petrol,1300,gray,mechanics,front-wheel drive,A
15061,daewoo,matiz,1500,2007,with mileage,210000,petrol,800,blue,mechanics,front-wheel drive,A
15170,hyundai,atos,1200,2000,with mileage,111111,petrol,1000,green,mechanics,front-wheel drive,A
15468,daewoo,matiz,2500,2010,with mileage,105000,petrol,800,red,mechanics,front-wheel drive,A
15539,daewoo,matiz,2000,2007,with mileage,108000,petrol,800,green,mechanics,front-wheel drive,A
15626,opel,agila,2990,2000,with mileage,201537,petrol,1200,silver,mechanics,front-wheel drive,A
15689,daewoo,matiz,1188,2000,with mileage,132994,petrol,800,red,mechanics,front-wheel drive,A
16004,daewoo,matiz,1000,2008,with mileage,130000,petrol,800,other,mechanics,front-wheel drive,A
16073,rover,45,4200,2001,with mileage,230000,petrol,2000,green,auto,front-wheel drive,A
16074,mercedes-benz,a-klass,4200,2002,with mileage,265000,diesel,1700,black,mechanics,front-wheel drive,A
16083,mercedes-benz,a-klass,2850,1999,with mileage,332000,diesel,1700,blue,mechanics,front-wheel drive,A
16089,mini,cooper,8700,2011,with mileage,142000,petrol,1600,white,auto,front-wheel drive,A
16191,ford,ka,2000,2001,with mileage,11111,petrol,1300,blue,mechanics,front-wheel drive,A
16512,mini,cooper,6200,2005,with mileage,175000,petrol,1600,red,auto,front-wheel drive,A
16518,hyundai,atos,2500,2001,with mileage,153000,petrol,1000,red,mechanics,front-wheel drive,A
16549,ford,ka,500,1996,with mileage,350000,petrol,1600,purple,mechanics,front-wheel drive,A
16603,ford,ka,4400,2009,with mileage,154700,petrol,1200,blue,mechanics,front-wheel drive,A
16884,mini,cooper,13000,2013,with mileage,39472,petrol,1600,gray,mechanics,front-wheel drive,A
16997,mini,cooper,18000,2012,with mileage,7900,petrol,1600,red,auto,front-wheel drive,A
17052,mercedes-benz,a-klass,8999,2009,with mileage,164000,petrol,1500,black,auto,front-wheel drive,A
17063,mercedes-benz,a-klass,3850,2001,with mileage,203000,diesel,1700,blue,auto,front-wheel drive,A
17396,peugeot,107,3650,2006,with mileage,148000,petrol,1000,black,mechanics,front-wheel drive,A
17487,daewoo,matiz,1950,2007,with mileage,67000,petrol,900,green,mechanics,front-wheel drive,A
17804,rover,45,2400,2001,with mileage,250000,petrol,1800,other,mechanics,front-wheel drive,A
17819,mini,cooper,5300,2004,with mileage,101000,petrol,1600,white,auto,front-wheel drive,A
17918,daewoo,matiz,1480,2006,with mileage,240000,petrol,800,green,mechanics,front-wheel drive,A
17952,rover,45,667,2000,with mileage,11,petrol,1400,blue,mechanics,front-wheel drive,A
18049,mercedes-benz,a-klass,2850,2000,with mileage,200000,petrol,1600,red,mechanics,front-wheel drive,A
18159,mini,cooper,4880,2003,with mileage,180000,petrol,1600,yellow,mechanics,front-wheel drive,A
18186,mercedes-benz,a-klass,3200,2000,with mileage,160000,petrol,1400,blue,mechanics,front-wheel drive,A
18217,mercedes-benz,a-klass,2280,1998,with mileage,272525,petrol,1600,green,mechanics,front-wheel drive,A
18492,hyundai,atos,2500,2002,with mileage,160000,petrol,1000,other,mechanics,front-wheel drive,A
18660,citroen,c1,4300,2010,with mileage,95000,petrol,1000,white,mechanics,front-wheel drive,A
18717,volkswagen,fox,3300,2006,with mileage,220000,petrol,1200,silver,mechanics,front-wheel drive,A
18882,peugeot,107,4000,2008,with mileage,100000,petrol,1000,white,auto,front-wheel drive,A
18912,mercedes-benz,a-klass,7999,2010,with mileage,175223,petrol,1700,silver,auto,front-wheel drive,A
18983,mini,cooper,5800,2005,with mileage,150000,petrol,1600,red,auto,front-wheel drive,A
19021,rover,45,1901,2000,with mileage,210000,petrol,1600,blue,mechanics,front-wheel drive,A
19137,mercedes-benz,a-klass,3100,2000,with mileage,281000,diesel,1700,blue,mechanics,front-wheel drive,A
19276,zaz,965,1190,1967,with mileage,30000,petrol,900,blue,mechanics,rear drive,A
19400,peugeot,107,5990,2012,with mileage,120420,petrol,1000,purple,auto,front-wheel drive,A
19463,daewoo,matiz,1350,2007,with mileage,150000,petrol,800,burgundy,mechanics,front-wheel drive,A
19492,volkswagen,fox,4000,2006,with mileage,150000,petrol,1200,yellow,mechanics,,A
19579,mercedes-benz,a-klass,3400,2000,with mileage,278200,petrol,1900,black,mechanics,front-wheel drive,A
19814,mini,cooper,12750,2015,with mileage,120000,diesel,1500,white,mechanics,front-wheel drive,A
20345,peugeot,107,4400,2008,with mileage,91500,petrol,1000,yellow,auto,,A
20407,peugeot,107,4550,2008,with mileage,152,petrol,1000,silver,mechanics,front-wheel drive,A
20638,daewoo,matiz,1850,2011,with mileage,80000,petrol,800,white,mechanics,front-wheel drive,A
20738,rover,45,2350,2001,with mileage,210000,petrol,1600,burgundy,mechanics,front-wheel drive,A
20763,ford,ka,4800,2009,with mileage,77500,petrol,1200,white,mechanics,front-wheel drive,A
20846,peugeot,107,3700,2010,with mileage,104000,petrol,1000,silver,mechanics,front-wheel drive,A
20905,ford,ka,2850,2006,with mileage,246000,petrol,1300,silver,mechanics,front-wheel drive,A
20983,rover,45,1093,2000,with mileage,230000,petrol,1800,other,mechanics,front-wheel drive,A
20995,daewoo,matiz,1500,2008,with mileage,226000,petrol,800,blue,mechanics,,A
21042,daewoo,matiz,1200,2009,with mileage,115000,petrol,800,burgundy,mechanics,front-wheel drive,A
21173,mercedes-benz,a-klass,6000,2005,with mileage,180743,diesel,1800,green,auto,front-wheel drive,A
21297,rover,45,3500,2002,with mileage,185000,petrol,2000,black,auto,front-wheel drive,A
21392,hyundai,atos,3426,2007,with mileage,180000,petrol,1100,silver,mechanics,front-wheel drive,A
21422,mercedes-benz,a-klass,3950,2004,with mileage,200000,diesel,1700,green,auto,front-wheel drive,A
21740,mercedes-benz,a-klass,3500,1999,with mileage,200000,diesel,1700,black,mechanics,front-wheel drive,A
21823,mercedes-benz,a-klass,7800,2009,with mileage,171000,petrol,1500,black,mechanics,front-wheel drive,A
21858,mercedes-benz,a-klass,2900,1999,with mileage,346030,petrol,1400,black,mechanics,front-wheel drive,A
22153,rover,45,3200,2004,with mileage,342408,petrol,1600,silver,mechanics,front-wheel drive,A
22186,rover,45,2100,2000,with mileage,326000,diesel,2000,black,mechanics,front-wheel drive,A
22354,mercedes-benz,a-klass,3600,2001,with mileage,185000,petrol,1400,gray,mechanics,front-wheel drive,A
22406,daewoo,matiz,2700,2007,with mileage,195000,petrol,796,yellow,mechanics,front-wheel drive,A
22438,mini,cooper,8000,2008,with mileage,109000,petrol,1600,red,auto,front-wheel drive,A
22451,mini,cooper,23100,2016,with mileage,55000,petrol,2000,green,auto,front-wheel drive,A
22547,mercedes-benz,a-klass,6999,2011,with mileage,170000,diesel,2000,black,mechanics,front-wheel drive,A
22609,volkswagen,fox,3200,2009,with mileage,173000,petrol,1200,red,mechanics,front-wheel drive,A
22828,mercedes-benz,a-klass,4450,2003,with mileage,200000,diesel,1700,gray,auto,front-wheel drive,A
22954,mercedes-benz,a-klass,2800,1998,with mileage,188000,petrol,1600,silver,mechanics,front-wheel drive,A
23112,daewoo,matiz,1150,2007,with mileage,160000,petrol,800,blue,mechanics,front-wheel drive,A
23180,daewoo,matiz,2350,2010,with mileage,164696,petrol,800,black,mechanics,front-wheel drive,A
23268,mercedes-benz,a-klass,2999,1998,with mileage,350000,petrol,1400,other,mechanics,front-wheel drive,A
23298,mercedes-benz,a-klass,2700,2000,with mileage,378000,diesel,1700,blue,auto,front-wheel drive,A
23316,mini,cooper,14199,2015,with mileage,12350,petrol,1500,white,mechanics,front-wheel drive,A
23759,mercedes-benz,a-klass,3600,2000,with mileage,246000,diesel,1700,burgundy,auto,front-wheel drive,A
23782,peugeot,107,4200,2008,with mileage,155780,petrol,1000,red,auto,front-wheel drive,A
23842,mini,cooper,5000,2001,with mileage,280000,petrol,1600,yellow,mechanics,front-wheel drive,A
23860,ford,ka,4300,2010,with mileage,68700,petrol,1200,black,mechanics,front-wheel drive,A
24012,daewoo,matiz,2600,2008,with mileage,54800,petrol,800,silver,auto,front-wheel drive,A
24020,mercedes-benz,a-klass,3200,1999,with mileage,235000,petrol,1600,silver,mechanics,front-wheel drive,A
24155,mercedes-benz,a-klass,24900,2019,with mileage,20,petrol,1300,black,auto,front-wheel drive,A
24193,daewoo,matiz,2350,2013,with mileage,84000,petrol,800,silver,mechanics,front-wheel drive,A
25237,opel,agila,6800,2009,with mileage,85000,petrol,1200,black,mechanics,front-wheel drive,A
25636,rover,45,2200,2000,with mileage,225000,petrol,1800,blue,mechanics,front-wheel drive,A
25859,daewoo,matiz,1200,2008,with mileage,1,petrol,800,other,mechanics,front-wheel drive,A
25898,volkswagen,fox,5000,2010,with mileage,155000,petrol,1200,red,mechanics,front-wheel drive,A
25908,ford,ka,1250,2000,with mileage,230000,petrol,1600,silver,mechanics,front-wheel drive,A
26039,opel,agila,4500,2010,with mileage,122000,petrol,1000,white,mechanics,front-wheel drive,A
26087,mercedes-benz,a-klass,6450,2008,with mileage,190000,diesel,2000,gray,mechanics,front-wheel drive,A
26122,chevrolet,matiz,3400,2009,with mileage,124000,petrol,800,red,mechanics,front-wheel drive,A
26248,mercedes-benz,a-klass,3800,2005,with mileage,193000,petrol,1500,white,auto,front-wheel drive,A
26982,mini,cooper,3950,2003,with mileage,291400,petrol,1600,other,mechanics,front-wheel drive,A
27030,mercedes-benz,a-klass,4299,2003,with mileage,289000,diesel,1700,other,mechanics,front-wheel drive,A
27151,citroen,c1,3950,2009,with mileage,109000,petrol,1000,red,mechanics,front-wheel drive,A
27249,rover,45,2300,2002,with mileage,203756,diesel,2000,silver,mechanics,front-wheel drive,A
27502,mini,cooper,16637,2001,with mileage,37700,petrol,1300,silver,mechanics,front-wheel drive,A
27528,mercedes-benz,a-klass,5800,2006,with mileage,3250,petrol,1500,black,mechanics,front-wheel drive,A
27685,peugeot,107,4000,2008,with mileage,147000,petrol,1000,blue,mechanics,front-wheel drive,A
27747,ford,ka,1600,1998,with mileage,389000,petrol,1300,blue,mechanics,front-wheel drive,A
27977,opel,agila,2200,2003,with mileage,170000,petrol,1000,blue,mechanics,front-wheel drive,A
28026,opel,agila,2550,2000,with mileage,220690,petrol,1000,blue,mechanics,front-wheel drive,A
28050,daewoo,matiz,2650,2012,with mileage,60000,petrol,800,burgundy,mechanics,front-wheel drive,A
28212,volkswagen,fox,4399,2007,with mileage,195000,petrol,1200,red,mechanics,front-wheel drive,A
28489,citroen,c1,4600,2010,with mileage,98000,petrol,1000,black,auto,front-wheel drive,A
28684,daewoo,matiz,2350,2008,with mileage,81000,petrol,800,burgundy,mechanics,front-wheel drive,A
28740,ford,ka,404,1998,for parts,36000,petrol,1300,purple,mechanics,front-wheel drive,A
29020,mercedes-benz,a-klass,12500,2013,with mileage,97744,petrol,1600,red,auto,front-wheel drive,A
29051,mercedes-benz,a-klass,4500,2002,with mileage,230000,petrol,1600,silver,mechanics,front-wheel drive,A
29263,volkswagen,fox,4600,2009,with mileage,240000,petrol,1200,white,mechanics,front-wheel drive,A
29328,mercedes-benz,a-klass,3800,2002,with mileage,200000,diesel,1700,silver,mechanics,front-wheel drive,A
29444,mercedes-benz,a-klass,6500,2007,with mileage,160000,petrol,1500,black,auto,front-wheel drive,A
29491,hyundai,atos,1050,1998,with mileage,276510,petrol,1000,green,mechanics,front-wheel drive,A
29687,daewoo,matiz,2450,2007,with mileage,105000,petrol,900,burgundy,mechanics,front-wheel drive,A
29805,mercedes-benz,a-klass,4450,2004,with mileage,140000,diesel,1700,black,auto,front-wheel drive,A
29868,mercedes-benz,a-klass,4200,2003,with mileage,220000,petrol,1400,black,mechanics,front-wheel drive,A
29876,zaz,965,2000,1962,with mileage,100000,petrol,1000,green,mechanics,rear drive,A
29881,mercedes-benz,a-klass,7000,2008,with mileage,232560,petrol,1500,brown,mechanics,front-wheel drive,A
30028,daewoo,matiz,1600,2007,with mileage,216000,petrol,1000,blue,mechanics,front-wheel drive,A
30089,ford,ka,950,1997,with mileage,50000,petrol,1300,burgundy,mechanics,front-wheel drive,A
30132,opel,agila,1600,2001,with mileage,380000,petrol,1200,burgundy,mechanics,front-wheel drive,A
30172,mini,cooper,15800,2015,with mileage,100000,petrol,1500,black,mechanics,front-wheel drive,A
30183,mercedes-benz,a-klass,4100,2001,with mileage,200000,petrol,1600,other,auto,front-wheel drive,A
30204,opel,agila,2500,2002,with mileage,200000,petrol,1000,white,mechanics,front-wheel drive,A
30236,volkswagen,fox,4800,2009,with mileage,97600,petrol,1200,silver,mechanics,front-wheel drive,A
30308,daewoo,matiz,2500,2010,with mileage,48000,petrol,800,other,mechanics,front-wheel drive,A
30466,peugeot,107,4300,2009,with mileage,112000,petrol,1000,white,mechanics,front-wheel drive,A
30992,ford,ka,999,1997,for parts,11111,petrol,1300,blue,mechanics,,A
30997,rover,45,1900,2000,with mileage,340000,petrol,1600,black,mechanics,front-wheel drive,A
31468,mini,cooper,8000,2008,with mileage,168000,petrol,1600,green,auto,front-wheel drive,A
31895,mini,cooper,9000,2009,with mileage,120000,petrol,1600,silver,auto,front-wheel drive,A
31914,mercedes-benz,a-klass,34652,2019,with mileage,10,petrol,1332,silver,auto,front-wheel drive,A
32054,daewoo,matiz,2850,2014,with mileage,82000,petrol,800,other,mechanics,front-wheel drive,A
32159,daewoo,matiz,1000,2000,with mileage,270000,petrol,800,other,mechanics,front-wheel drive,A
32212,hyundai,atos,3300,2004,with mileage,150000,petrol,1100,silver,mechanics,front-wheel drive,A
32473,mini,cooper,6800,2009,with mileage,181000,petrol,1600,red,mechanics,front-wheel drive,A
32489,mercedes-benz,a-klass,3200,2001,with mileage,214000,diesel,1700,red,mechanics,front-wheel drive,A
32666,rover,45,500,2001,for parts,300000,diesel,2000,silver,mechanics,front-wheel drive,A
32804,mercedes-benz,a-klass,4600,2002,with mileage,185000,diesel,1700,silver,mechanics,front-wheel drive,A
32974,mini,cooper,14999,2015,with mileage,112000,petrol,1500,black,auto,front-wheel drive,A
33174,daewoo,matiz,2800,2008,with mileage,58218,petrol,800,other,mechanics,,A
33291,daewoo,matiz,1188,2004,with mileage,127000,petrol,800,blue,mechanics,,A
33578,mini,cooper,4000,2001,with mileage,243408,petrol,1600,black,mechanics,front-wheel drive,A
33838,daewoo,matiz,2250,2006,with mileage,66000,petrol,800,other,mechanics,front-wheel drive,A
